coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,tidInterpreted,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
69522,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:2c405e94-d063-4078-9eeb-4161b8c269f0,"2021-11-02 14:19:26"
69522,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:d61e7056-1906-42db-a0f9-1a2c01563b4f,"2021-11-02 14:19:26"
69528,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:623deab1-a129-4e13-a776-4f672429eb14,"2021-11-02 14:19:26"
69528,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:07557ec6-cec7-4e7b-bed8-a41ae5d4db09,"2021-11-02 14:19:26"
69508,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:f1f3b471-a402-4942-9659-96e420d4ad20,"2021-11-02 14:19:26"
69508,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:9c0f081a-0186-4a50-ba5a-ce1d7ee72117,"2021-11-02 14:19:26"
69514,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:9c86eeca-0ae1-46f6-a704-9500231dfc1a,"2021-11-02 14:19:26"
69514,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:21edd559-2d90-4ffd-8d1a-6b5eb07d776c,"2021-11-02 14:19:26"
69504,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:f3bfadf4-2187-442d-afc8-385d4ec508e0,"2021-11-02 14:19:26"
69504,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:6a385999-7ad5-4c9a-b549-d407bfce9a11,"2021-11-02 14:19:26"
69519,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:9421a36d-39b6-47e1-88cb-3eba0e0608c6,"2021-11-02 14:19:26"
69519,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:c8736fb0-1953-4047-a83a-388232fd909f,"2021-11-02 14:19:26"
69496,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:022fc8ca-0175-473e-bbb0-4cfce8d724bd,"2021-11-02 14:19:26"
69515,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:345e98b5-5439-4124-8c6c-a64449d236bf,"2021-11-02 14:19:26"
69515,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:c97a2f85-a165-4d00-9ab7-9de402644482,"2021-11-02 14:19:26"
69574,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:693463fb-e26f-4207-83fc-2da85351ab5f,"2021-11-02 14:19:26"
69574,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:d3d5fa91-cc05-4483-b75d-4287a0635ea5,"2021-11-02 14:19:26"
69572,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:1e723b1f-326d-4e74-847f-4e02cedbd126,"2021-11-02 14:19:26"
69572,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:39ec74d5-bf3a-45ef-bf55-718b7495b2af,"2021-11-02 14:19:26"
69558,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:d127bf0c-da6d-4a8f-89e6-74bc341419fd,"2021-11-02 14:19:26"
69558,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:4608dbc3-202d-45f8-aa03-ef9605967227,"2021-11-02 14:19:26"
69560,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:5bc48168-7a01-4527-8e63-26d0e97027c6,"2021-11-02 14:19:26"
69560,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:735c2747-f192-44dc-b289-d30ac60b4387,"2021-11-02 14:19:26"
69573,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:4b51e5f5-0ee6-408e-8a06-b0246fb89f89,"2021-11-02 14:19:26"
69573,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:20a50160-7423-48c0-a391-8205ba3349d8,"2021-11-02 14:19:26"
69561,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:812364f4-6d00-4be2-b1ca-bdc0b14849bb,"2021-11-02 14:19:26"
69561,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:e0303e7c-a7c2-4eab-8098-554a09bcdb60,"2021-11-02 14:19:26"
69598,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:696a7196-15c3-45f5-8666-0c25d8cc4ee7,"2021-11-02 14:19:26"
69598,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:96c287aa-0ca8-400f-a4cb-951fea889bda,"2021-11-02 14:19:26"
69579,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:cdfcf338-59d0-48e1-8d45-cd687ed9e172,"2021-11-02 14:19:26"
69579,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:871c69f4-6c6e-4f3d-b557-025e9e9bf8f2,"2021-11-02 14:19:26"
69546,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:b486ca0d-f6c9-4b5e-bed8-0d730786c36f,"2021-11-02 14:19:26"
69546,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:a483a05c-6f47-4c56-8c72-0cc5b3d40f1d,"2021-11-02 14:19:26"
69577,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:0ca96474-aaf3-4920-ac53-9aa09e1f9eff,"2021-11-02 14:19:26"
69577,unknown,unknown,,Hymenoptera,,0,,,,,,,,urn:uuid:6d4a8570-3759-4896-83d0-6b2332cf330b,"2021-11-02 14:19:26"
69567,"Katja Seltmann",2019,,Lasioglossum,,0,(Dialictus),,,,,,,urn:uuid:b5c5ebde-58f9-4d1c-93c7-8baf2488e3b4,"2021-11-02 14:19:26"
